L7	IL7	IL41	IL46	IL59	IL65	IL68	IL77	IL139	IL148	IL157	IL159	IL167	IL170	IL174	IL181	IL184	IL185	IL186	IL10	IL24	IL42	IL48	IL54	IL62	IL70	IL72	IL81	IL84	IL85	IL92	IL94	IL96	IL98	IL111	IL112	IL114	IL143	IL144	IL146	IL151	IL162	IL187	IL188	IL5	IL6	IL30	IL36	IL39	IL51	IL53	IL69	IL82	IL93	IL103	IL105	IL122	IL126	IL128	IL129	IL134	IL149	IL154	IL164	IL168	IL177	IL178	IL179	IL180	IL189	IL15	IL21	IL28	IL33	IL50	IL56	IL74	IL88	IL107	IL117	IL131	IL132	IL135	IL137	IL138	IL150	IL152	IL155	IL161	IL173	IL3	IL16	IL19	IL26	IL31	IL32	IL55	IL60	IL64	IL66	IL67	IL76	IL83	IL87	IL95	IL99	IL110	IL119	IL136	IL141	IL166	IL175	IL176	IL182	IL8	IL13	IL20	IL27	IL34	IL47	IL57	IL58	IL61	IL71	IL86	IL100	IL106	IL108	IL109	IL113	IL115	IL118	IL120	IL125	IL130	IL133	IL142	IL158	IL165	IL172	IL11	IL12	IL22	IL29	IL45	IL52	IL80	IL89	IL101	IL123	IL147	IL153	IL156	IL160	IL163	IL171	IL183	IL190	IL2	IL9	IL14	IL17	IL18	IL23	IL35	IL37	IL38	IL40	IL43	IL44	IL63	IL75	IL78	IL79	IL90	IL91	IL102	IL104	IL116	IL124	IL127	IL140	IL4	IL49	IL73	IL97	IL121	IL145	IL169
Leptotrichia sp002240055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.75818	0	0	3.32937	3.77476	0	0	0	0	2.36667	0	5.81654	0	5.27143	4.50556	0	0	0	0	0	0	0	0	0	0	0	0	2.20889	0	0	0	0	2.853	1.727	3.36071	0	0	3.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.81692	0	0	0	0	0	3.049	0	0	0	0	0	0	0	3.42615	0	0	0	0	0	0	0	0	0	0	0	0	0
Faecalibacillus faecis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.58042	5.22077	5.8564	0	181.524	5.08529	3.38769	4.5925	0	0	0	4.14692	73.4073	14.9712	0	0	0	0	5.61063	0	14.2362	0	6.03174	4.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	457.093	26.9977	0	5.76	6.72952	14.8573	0	330.044	719.255	0	1034.14	0	0	0	0	0	7.81038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.181	0	7.84182	811.878	8.64314	0	4.45071	46.9306	0	7.0817	7.14434	0	5.79818	0	5.8069	51.345	6.27706	0	0	0	0	3.90625	93.6886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.72067	3.43273	0	12.2165	0	0	5.33614	0	7.25776	3.88286	0	0	0	0	27.6455	3.757	0	0	0	0	0	0	0	0	0	0	0
Olsenella uli	7.87046	8.01133	0	8.44429	7.88447	7.76931	35.2241	13.9895	20.7039	7.84321	7.8116	9.20355	25.9518	10.5057	8.4504	27.5307	8.1574	8.39085	0	3.95167	0	4.83387	6.58758	6.76088	5.861	5.91605	5.50741	13.3416	9.79892	6.19516	4.8925	6.79094	0	6.53768	7.1575	5.82645	5.41176	6.69933	8.01458	7.016	0	0	7.22492	0	0	0	0	0	0	0	2.17636	0	0	0	0	0	3.63941	0	0	0	0	0	0	0	0	0	2.466	0	0	3.53833	10.8604	9.10727	0	0	3.57576	0	2.99652	0	0	0	0	0	0	0	0	4.50489	3.95348	0	4.17815	7.75781	8.435	106.714	7.92189	10.9415	48.7851	7.56667	8.78855	10.8792	7.35409	5.76583	7.52348	7.61514	117.62	7.5216	12.3308	0	9.84579	9.57776	12.0837	8.00697	6.52833	8.07592	14.7826	5.42118	8.39904	0	5.60118	2.97286	7.14516	5.66697	6.89106	8.44686	0	6.04026	6.65448	6.32174	7.75736	10.0504	7.90618	0	8.15116	6.11016	7.18316	6.88333	0	6.44703	7.12657	5.49529	0	8.31868	7.48306	0	12.3834	12.4887	7.74593	16.2359	8.34566	27.8662	8.07827	24.1212	8.89147	13.5766	9.44171	8.79539	18.5646	13.6304	7.7876	6.33524	11.7774	9.89	13.6662	5.50282	0	0	11.4139	6.999	13.257	15.7169	10.6757	7.59426	6.53583	10.7685	8.99388	7.09538	11.8657	12.4849	0	7.3045	7.43797	0	0	0	0	0	0	0	0	0
Oribacterium asaccharolyticum	12.2404	19.902	0	7.28137	23.3596	12.7733	38.8793	56.0369	22.3262	6.365	14.3933	43.2107	43.7758	10.5247	13.0731	38.9605	30.8689	6.317	0	5.51318	0	7.03909	10.2421	11.4697	6.75583	9.05286	8.48784	9.78221	11.0258	6.75246	5.69476	7.93986	0	13.1259	6.78932	11.8101	6.85761	15.663	12.7058	5.96958	0	0	5.67933	6.12872	0	3.80593	0	2.42769	1.74818	0	11.3359	13.0813	5.34714	4.59471	4.74923	7.84833	43.6942	0	0	0	8.97192	8.6217	11.1621	6.39512	20.0293	7.9064	6.78156	5.91735	14.5483	6.34909	19.1462	10.3789	2.01176	0	5.54344	0	8.97224	0	0	0	3.72844	0	0	0	4.50222	5.66583	2.8555	0	10.0514	4.715	11.8107	7.78214	0	5.6659	3.53	4.95	10.94	6.784	5.5425	0	4.90833	6.06	5.80371	6.66951	9.08489	0	7.47825	6.62436	15.018	0	0	6.70553	13.2668	8.33286	12.7232	4.80071	6.52154	0	18.4613	15.0569	14.4613	9.70095	0	19.0896	29.7467	15.463	15.02	19.6331	35.8764	0	29.4387	15.139	7.37839	11.51	0	12.8688	21.1064	7.51769	6.21357	5.2027	4.5384	0	14.5884	7.23354	4.01706	16.21	6.2381	32.9685	6.33857	19.7175	5.14268	5.69143	8.12173	5.76854	24.922	10.0517	4.36609	0	16.0272	16.0456	38.4329	5.21765	0	0	15.5716	6.42326	24.1593	5.8839	43.9847	6.40755	7.037	21.3438	24.7209	6.87354	31.6847	13.6498	4.20577	7.08404	23.4118	0	0	0	0	0	0	0	0	0
Eubacterium_B sulci	41.9862	138.727	0	18.742	138.064	71.4967	126.746	501.062	83.2285	10.1687	37.058	228.861	159.425	30.6849	34.2867	215.9	311.226	9.16545	8.87716	96.2424	7.19833	304.884	415.599	351.487	122.446	596.325	420.276	601.266	658.987	56.4326	84.2677	454.897	8.12882	823	35.6752	361.665	199.016	1381.28	1337.74	114.948	14.3914	7.64882	53.0736	44.4569	0	12.1718	0	5.40451	5.86904	3.72792	207.311	139.802	48.4529	20.0161	28.4761	72.1214	539.168	2.65172	0	3.25548	96.2774	114.089	58.8156	54.8468	95.8336	41.902	25.0006	14.9064	59.398	116.71	291.74	373.275	25.3565	7.9031	96.4959	0	888.033	6.88849	7.02962	8.63344	89.0113	7.45762	13.5409	19.9718	76.6146	120.685	73.2217	0	445.421	146.651	1312.03	521.418	9.78333	252.265	82.7063	85.0081	612.74	323.085	157.332	37.4413	118.965	142.826	307.015	215.806	477.755	9.19	205.957	314.433	723.269	24.9793	7.54012	185.195	666.958	125.567	554.697	16.085	57.8944	11.9909	404.945	152.809	340.681	182.108	5.95623	392.571	302.51	123.734	181.884	318.21	455.712	3.2584	301.19	100.366	57.7229	256.965	3.45914	217.956	189.416	39.5785	27.2294	10.6721	10.422	6.88795	233.869	40.7311	9.26173	181.476	14.4236	571.063	9.18	240.953	14.6072	15.0896	148.261	15.1522	284.427	245.454	10.3016	8.13418	229.307	524.393	351.161	15.4209	9.55253	0	167.153	48.3744	271.083	35.392	1158.86	75.089	34.5126	205.153	682.774	36.0191	330.385	90.0686	11.1557	100.694	484.161	7.3256	8.13545	0	0	0	0	0	0	0
Gemmiger qucibialis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9385	0	0	0	5.86241	0	0	1.55778	0	0	0	0	4.10615	0	0	0	0	0	0	0	4.97889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.00333	0	0	0	0	0	0	30.4458	5.83132	0	4.81256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.40667	0	4.0128	0	0	4.53814	0	3.87143	0	0	0	0	0	14.4544	2.61263	0	0	0	0	0	0	0	0	0	0	0
Agathobacter faecis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.11449	7.62839	8.57214	0	80.987	0	0	6.7125	0	0	0	5.97677	16.3216	0	0	0	0	6.18429	0	3.26444	8.63642	0	7.37475	7.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.268	0	63.836	7.48063	0	0	8.11125	7.5485	0	598.908	248.297	0	112.689	6.74473	0	0	0	0	6.52649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.90778	7.81793	0	0	20.346	7.7322	0	0	152.674	0	10.2633	0	0	7.05175	0	0	15.7753	6.585	0	0	0	0	7.61169	10.7563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.44333	0	0	3.47842	0	3.2987	0	0	0	0	0	11.2064	0	0	0	0	0	0	0	0	0	0	0	0
Cardiobacterium hominis	0	0	0	0	3.99333	0	0	0	0	0	2.768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.90817	7.59844	4.48826	2.94167	3.55737	0	0	0	3.0873	0	2.25727	3.84457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9395	5.84241	3.47652	0	0	13.3839	0	6.6728	0	0	0	5.80988	0	3.96737	0	3.85818	0	4.654	10.7012	3.43565	0	0	4.51878	4.77901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Faecousia sp900547405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.8275	7.11521	6.57239	0	43.8184	0	0	7.45229	0	0	0	6.92526	40.0049	0	0	0	0	0	5.44412	0	8.55333	0	6.79493	6.80684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAG-269 sp003525075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.79045	5.0466	0	0	15.6692	0	0	0	0	0	0	2.40556	13.864	0	0	0	0	0	0	0	5.38735	0	4.64947	4.22609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.58467	0	0	0	0	0	0	12.9491	8.99559	0	2.24455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruminococcus_E bromii_B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.57864	5.15194	0	0	0	0	0	35.2181	5.6394	0	4.10567	0	0	0	0	0	2.51214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.611	7.52619	7.65011	4.88833	0	7.50895	0	93.6334	7.46077	0	30.3003	0	7.78155	7.42988	7.26833	0	7.77133	0	242.201	7.89287	0	0	0	0	0	0	0	0	0	0	0
CAG-269 sp905213875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.38517	0	0	3.62895	0	2.41357	0	0	0	0	0	20.1444	0	0	0	0	0	0	0	0	0	0	0	0
CAG-269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.38185	3.19278	0	0	13.3827	0	0	0	0	0	0	0	10.6601	0	0	0	0	0	0	0	4.42786	0	2.78182	2.12286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.02955	5.37381	0	2.0825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.88667	0	0	0	0	0	0	0	0	0	0	24.035	0	0	0	0	0	0	0	0	0	0	0	0
UBA1417 sp003531055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.82364	0	0	0	5.75222	0	0	0	0	0	0	0	4.73062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3532	0	0	0	0	0	0	6.76854	7.38359	0	3.66094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemmiger formicilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.9493	7.74065	8.0833	0	114.209	6.70946	7.54273	6.81529	0	0	0	6.68085	98.0773	8.43362	6.356	0	6.149	0	6.77019	0	48.6773	0	7.35409	8.58677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.554	0	29.0205	7.43527	0	0	5.72607	4.90368	0	230.172	57.3668	0	42.5951	4.83773	0	4.44846	0	0	6.70175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.9988	6.78676	0	10.3533	6.27229	0	14.6904	0	0	11.6574	0	13.1329	6.67	0	0	6.00304	0	85.3047	7.4208	0	0	0	0	0	0	0	0	0	0	0
Leptotrichia wadei_A	21.2684	24.6268	0	8.78135	85.6638	31.2832	12.3014	35.0976	7.71011	7.01808	23.1568	27.5626	7.45	8.7813	10.6002	9.71356	8.16044	60.7267	0	0	0	8.69429	7.70043	528.337	7.0625	11.4353	6.72196	6.86722	0	8.56667	6.135	0	0	25.6592	0	28.3521	0	6.86114	15.0011	0	0	0	0	12.4831	0	6.82481	0	3.74727	5.78259	0	40.142	87.3681	9.79802	4.928	7.0569	32.1225	9.33193	0	0	4.05083	41.0932	12.9367	17.0856	7.98848	53.861	23.771	5.92207	3.48818	7.68988	47.1472	10.4934	45.1992	8.15477	6.39364	59.1835	0	150.058	12.0676	6.15519	6.51915	37.5889	5.745	7.11976	9.76538	40.6441	23.9482	7.48221	0	112.156	5.89929	5.91059	66.0221	0	14.7601	6.80364	2.033	7.50192	5.35784	1.72643	0	5.87869	6.92427	30.1494	4.64556	16.6235	0	14.5473	5.6115	19.3275	4.73095	0	7.5716	14.2017	42.5798	921.363	8.36646	142.084	3.73261	970.031	1533.85	576.71	1061.36	0	131.735	236.763	263.37	623.391	1850.21	609.741	0	3692.37	91.0259	21.3032	34.1905	11.1196	93.9238	49.5574	15.3834	10.9172	3.67	0	0	6.375	6.00591	0	19.1986	5.60769	8.53321	4.69667	12.102	4.78565	5.50933	0	3.8668	15.0714	0	5.01211	0	75.7731	14.951	280.091	0	0	0	5.55138	7.11818	163.934	5.71485	33.7874	6.45176	5.23979	77.1132	21.447	7.55129	111.773	7.37822	0	6.01855	303.865	0	0	0	0	0	0	0	0	0
CAG-127 sp900319515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.44837	5.00039	0	0	20.6089	0	0	0	0	0	0	0	10.7808	0	0	0	0	0	0	0	5.47222	0	4.3163	4.6045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus aureus	2102.72	2102.94	0	7.23121	8.1549	16.0564	7.24022	10.8235	7.32225	7.19705	1117.07	49.3958	7.03153	7.06689	7.39939	7.514	7.19885	24.1345	0	0	0	1.889	1.847	3.58565	0	0	0	0	2.68118	0	0	3.89714	0	0	0	0	0	0	2.93556	2.71727	0	0	3.93087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.99228	831.984	7.54151	0	0	7.45766	0	7.7244	0	0	4.44692	9.01526	0	0	6.20816	6.28714	7.30788	6.63927	0	7.85854	9.80857	236.836	11.9111	7.30598	7.8367	7.35276	22.3878	8.10327	7.68011	138.564	7.85408	12.1707	26.4211	8.96337	7.41141	7.57936	0	7.52656	7.59121	7.59859	7.39409	6.99975	7.00391	7.47771	124.905	7.14857	0	0	3.462	0	0	0	6.68741	0	5.96429	5.736	0	3.46	6.656	4.54444	0	0	4.82692	0	0	0	0	6.15342	0	4.76682	245.334	9.2851	0	374.274	46.4762	10.29	557.499	16.4607	393.538	22.9123	524.82	68.6029	126.153	29.7402	12.6315	739.33	17.3023	57.1012	0	3.01591	2.71531	2.9825	0	9.51072	0	2.64679	2.06118	2.94455	2.37792	3.18021	2.567	2.55156	2.56929	2.05231	0	3.33778	2.08619	3.55195	2.75654	0	0	0	0	0	0	0	0	0	0
Eubacterium_R sp000434995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.5825	12.6103	7.57564	0	127	6.88434	7.29273	7.99626	0	0	0	8.5095	112.876	0	6.31778	0	0	0	7.41796	0	9.48248	0	11.7253	7.56406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.69377	6.83609	0	0	0	0	0	55.1287	20.8503	0	6.82625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nanosyncoccus sp905372495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.06	0	7.44711	0	5.31444	0	0	6.91073	8.43187	5.96	6.86667	5.47083	6.62419	7.03444	0	0	0	7.0913	7.30476	13.2406	6.2104	8.64525	6.74766	8.41328	7.86233	21.6225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.53537	4.609	0	0	0	3.30455	7.83167	2.54933	0	0	4.82464	5.14387	10.6402	0	0	6.16824	0	3.9564	9.89545	8.76018	5.86128	0	1.56692	4.3875	3.85091	3.22545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAG-194 sp000432915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.46392	8.33596	7.4948	0	49.2088	0	0	0	0	0	0	0	28.2681	0	0	0	0	0	0	0	8.08742	0	7.12101	7.14562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nanogingivalis sp015257795	7.3563	10.5342	0	7.02507	10.9449	7.43403	7.69056	23.6266	7.07657	7.44514	7.68583	13.376	11.7571	10.9762	10.5178	8.83	18.6142	6.98015	0	0	0	3.59789	3.42687	5.58636	2.71364	4.625	0	2.78308	0	4.03583	0	2.84154	0	5.96889	0	5.10808	0	3.63643	4.127	2.63667	0	0	0	6.58783	0	3.24467	0	0	3.04929	0	9.44617	9.3222	4.83794	3.46895	4.01684	9.03475	46.2635	0	0	0	5.758	6.28947	6.86038	5.76208	14.3066	5.1484	4.04719	0	7.82138	0	157.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.76077	0	0	0	0	7.042	8.41095	6.26795	37.4556	4.00043	0	97.8439	18.1266	3.99824	0	4.73667	0	6.24114	26.0754	47.8934	0	25.9314	18.9504	6.81189	5.835	0	6.20033	8.1045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.64	31.4222	0	74.2031	168.232	7.09568	180.601	96.9938	237.625	40.7296	130.586	57.3519	74.2009	71.1588	72.5485	95.8746	93.9364	26.0709	7.58306	92.4155	22.8135	138.561	9.16327	6.49729	0	80.1512	7.53082	167.158	27.078	39.5998	12.6127	18.2486	84.3222	17.7512	22.6153	174.741	73.9122	6.30708	7.53571	11.3763	5.37067	5.88413	0	0	0	0	0	0	0
Eubacterium_R sp900539775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.99312	0	15.122	0	0	0	0	0	0	0	11.6006	0	0	0	0	0	0	0	4.42172	0	0	2.20538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leptotrichia_A sp000469505	7.28848	7.28848	0	0	6.23375	5.044	3.34571	3.08333	0	0	8.75289	3.86783	0	0	0	2.03667	0	21.2301	3.97368	0	0	0	0	0	3.6196	2.33	22.5706	3.65167	4.12889	3.94667	4.44	0	0	4.25457	0	7.12182	0	3.6668	0	0	0	0	0	0	0	0	0	0	0	0	5.99781	7.32971	2.983	0	0	3.45421	0	0	0	0	0	0	0	0	4.91581	0	0	0	0	5.15364	0	1.80111	4.792	0	0	0	10.5703	0	0	0	16.8189	0	3.47909	0	0	0	0	0	10.231	7.74087	8.6025	27.7261	0	6.9122	11.7267	5.63204	0	0	5.60224	0	6.68084	6.88795	20.0546	0	0	0	5.20565	5.06222	5.68846	6.418	0	6.828	6.01377	0	4.09039	2.90467	6.26148	0	76.1724	3.83243	5.85344	2.98385	0	14.3519	9.25195	4.67673	3.15579	4.78159	7.33063	0	16.091	3.93372	6.90675	0	0	2.46941	5.40806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.28256	7.06375	19.942	0	0	0	5.77273	8.46808	7.79737	5.98348	7.27587	7.14	9.80273	66.0197	12.146	7.08444	24.595	7.05011	0	7.557	8.0992	0	4.49571	0	0	0	0	0	0	0
Nanogingivalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.34667	5.28	0	0	0	5.84818	0	0	0	0	3.99867	7.33071	6.882	3.79333	8.88667	4.17714	3.80917	0	12.5256	0	37.1239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86.1156	14.1503	9.4575	7.69746	6.60286	25.4559	75.2786	30.3606	15.9113	10.5261	17.9337	29.1637	59.4195	14.4438	15.5906	28.9772	8.24091	15.8801	84.5725	7.45032	55.0142	0	16.8764	19.3738	19.7546	13.4836	14.8157	8.24429	0	12.6707	24.6997	0	18.9977	26.024	49.4903	11.0833	17.1472	12.917	20.9827	18.5207	21.6803	15.662	25.5243	5.85077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.2652	0	0	0	0	0	0	0	0	0
